// Id,Text,Roma,FilepathLightBoy,FilepathLightGirl,FilepathBaseBoy,FilepathBaseGirl
143,"て","te","star3_moji_tex/m3ahr_hikari_19_te","star3_moji_tex/m3bhr_hikari_19_te","star4_moji_tex/m3ahr_l_19_te","star4_moji_tex/m3bhr_l_19_te"
144,"と","to","star3_moji_tex/m3ahr_hikari_20_to","star3_moji_tex/m3bhr_hikari_20_to","star4_moji_tex/m3ahr_l_20_to","star4_moji_tex/m3bhr_l_20_to"
145,"な","na","star3_moji_tex/m3ahr_hikari_21_na","star3_moji_tex/m3bhr_hikari_21_na","star4_moji_tex/m3ahr_l_21_na","star4_moji_tex/m3bhr_l_21_na"
146,"に","ni","star3_moji_tex/m3ahr_hikari_22_ni","star3_moji_tex/m3bhr_hikari_22_ni","star4_moji_tex/m3ahr_l_22_ni","star4_moji_tex/m3bhr_l_22_ni"
147,"ぬ","nu","star3_moji_tex/m3ahr_hikari_23_nu","star3_moji_tex/m3bhr_hikari_23_nu","star4_moji_tex/m3ahr_l_23_nu","star4_moji_tex/m3bhr_l_23_nu"
148,"ね","ne","star3_moji_tex/m3ahr_hikari_24_ne","star3_moji_tex/m3bhr_hikari_24_ne","star4_moji_tex/m3ahr_l_24_ne","star4_moji_tex/m3bhr_l_24_ne"
149,"の","no","star3_moji_tex/m3ahr_hikari_25_no","star3_moji_tex/m3bhr_hikari_25_no","star4_moji_tex/m3ahr_l_25_no","star4_moji_tex/m3bhr_l_25_no"
150,"は","ha","star3_moji_tex/m3ahr_hikari_26_ha","star3_moji_tex/m3bhr_hikari_26_ha","star4_moji_tex/m3ahr_l_26_ha","star4_moji_tex/m3bhr_l_26_ha"
151,"ひ","hi","star3_moji_tex/m3ahr_hikari_27_hi","star3_moji_tex/m3bhr_hikari_27_hi","star4_moji_tex/m3ahr_l_27_hi","star4_moji_tex/m3bhr_l_27_hi"
152,"ふ","fu","star3_moji_tex/m3ahr_hikari_28_fu","star3_moji_tex/m3bhr_hikari_28_fu","star4_moji_tex/m3ahr_l_28_fu","star4_moji_tex/m3bhr_l_28_fu"
153,"へ","he","star3_moji_tex/m3ahr_hikari_29_he","star3_moji_tex/m3bhr_hikari_29_he","star4_moji_tex/m3ahr_l_29_he","star4_moji_tex/m3bhr_l_29_he"
154,"ほ","ho","star3_moji_tex/m3ahr_hikari_30_ho","star3_moji_tex/m3bhr_hikari_30_ho","star4_moji_tex/m3ahr_l_30_ho","star4_moji_tex/m3bhr_l_30_ho"
155,"ま","ma","star3_moji_tex/m3ahr_hikari_31_ma","star3_moji_tex/m3bhr_hikari_31_ma","star4_moji_tex/m3ahr_l_31_ma","star4_moji_tex/m3bhr_l_31_ma"
156,"み","mi","star3_moji_tex/m3ahr_hikari_32_mi","star3_moji_tex/m3bhr_hikari_32_mi","star4_moji_tex/m3ahr_l_32_mi","star4_moji_tex/m3bhr_l_32_mi"
157,"む","mu","star3_moji_tex/m3ahr_hikari_33_mu","star3_moji_tex/m3bhr_hikari_33_mu","star4_moji_tex/m3ahr_l_33_mu","star4_moji_tex/m3bhr_l_33_mu"
158,"め","me","star3_moji_tex/m3ahr_hikari_34_me","star3_moji_tex/m3bhr_hikari_34_me","star4_moji_tex/m3ahr_l_34_me","star4_moji_tex/m3bhr_l_34_me"
159,"も","mo","star3_moji_tex/m3ahr_hikari_35_mo","star3_moji_tex/m3bhr_hikari_35_mo","star4_moji_tex/m3ahr_l_35_mo","star4_moji_tex/m3bhr_l_35_mo"
160,"ら","ra","star3_moji_tex/m3ahr_hikari_36_ra","star3_moji_tex/m3bhr_hikari_36_ra","star4_moji_tex/m3ahr_l_36_ra","star4_moji_tex/m3bhr_l_36_ra"
161,"り","ri","star3_moji_tex/m3ahr_hikari_37_ri","star3_moji_tex/m3bhr_hikari_37_ri","star4_moji_tex/m3ahr_l_37_ri","star4_moji_tex/m3bhr_l_37_ri"
162,"る","ru","star3_moji_tex/m3ahr_hikari_38_ru","star3_moji_tex/m3bhr_hikari_38_ru","star4_moji_tex/m3ahr_l_38_ru","star4_moji_tex/m3bhr_l_38_ru"
163,"れ","re","star3_moji_tex/m3ahr_hikari_39_re","star3_moji_tex/m3bhr_hikari_39_re","star4_moji_tex/m3ahr_l_39_re","star4_moji_tex/m3bhr_l_39_re"
164,"ろ","ro","star3_moji_tex/m3ahr_hikari_40_ro","star3_moji_tex/m3bhr_hikari_40_ro","star4_moji_tex/m3ahr_l_40_ro","star4_moji_tex/m3bhr_l_40_ro"
165,"や","ya","star3_moji_tex/m3ahr_hikari_41_ya","star3_moji_tex/m3bhr_hikari_41_ya","star4_moji_tex/m3ahr_l_41_ya","star4_moji_tex/m3bhr_l_41_ya"
166,"ゆ","yu","star3_moji_tex/m3ahr_hikari_43_yu","star3_moji_tex/m3bhr_hikari_43_yu","star4_moji_tex/m3ahr_l_43_yu","star4_moji_tex/m3bhr_l_43_yu"
168,"よ","yo","star3_moji_tex/m3ahr_hikari_45_yo","star3_moji_tex/m3bhr_hikari_45_yo","star4_moji_tex/m3ahr_l_45_yo","star4_moji_tex/m3bhr_l_45_yo"
170,"わ","wa","star3_moji_tex/m3ahr_hikari_46_wa","star3_moji_tex/m3bhr_hikari_46_wa","star4_moji_tex/m3ahr_l_46_wa","star4_moji_tex/m3bhr_l_46_wa"
171,"を","wo","star3_moji_tex/m3ahr_hikari_47_wo","star3_moji_tex/m3bhr_hikari_47_wo","star4_moji_tex/m3ahr_l_47_wo","star4_moji_tex/m3bhr_l_47_wo"
172,"ん","nn","star3_moji_tex/m3ahr_hikari_49_nn","star3_moji_tex/m3bhr_hikari_49_nn","star4_moji_tex/m3ahr_l_49_nn","star4_moji_tex/m3bhr_l_49_nn"
173,"が","ga","star3_moji_tex/m3ahr_hikari_51_ga","star3_moji_tex/m3bhr_hikari_51_ga","star4_moji_tex/m3ahr_l_51_ga","star4_moji_tex/m3bhr_l_51_ga"
174,"ぎ","gi","star3_moji_tex/m3ahr_hikari_52_gi","star3_moji_tex/m3bhr_hikari_52_gi","star4_moji_tex/m3ahr_l_52_gi","star4_moji_tex/m3bhr_l_52_gi"
175,"ぐ","gu","star3_moji_tex/m3ahr_hikari_53_gu","star3_moji_tex/m3bhr_hikari_53_gu","star4_moji_tex/m3ahr_l_53_gu","star4_moji_tex/m3bhr_l_53_gu"
176,"げ","ge","star3_moji_tex/m3ahr_hikari_54_ge","star3_moji_tex/m3bhr_hikari_54_ge","star4_moji_tex/m3ahr_l_54_ge","star4_moji_tex/m3bhr_l_54_ge"
177,"ご","go","star3_moji_tex/m3ahr_hikari_55_go","star3_moji_tex/m3bhr_hikari_55_go","star4_moji_tex/m3ahr_l_55_go","star4_moji_tex/m3bhr_l_55_go"
178,"ざ","za","star3_moji_tex/m3ahr_hikari_56_za","star3_moji_tex/m3bhr_hikari_56_za","star4_moji_tex/m3ahr_l_56_za","star4_moji_tex/m3bhr_l_56_za"
179,"じ","zi","star3_moji_tex/m3ahr_hikari_57_zi","star3_moji_tex/m3bhr_hikari_57_zi","star4_moji_tex/m3ahr_l_57_zi","star4_moji_tex/m3bhr_l_57_zi"
180,"ず","zu","star3_moji_tex/m3ahr_hikari_58_zu","star3_moji_tex/m3bhr_hikari_58_zu","star4_moji_tex/m3ahr_l_58_zu","star4_moji_tex/m3bhr_l_58_zu"
181,"ぜ","ze","star3_moji_tex/m3ahr_hikari_59_ze","star3_moji_tex/m3bhr_hikari_59_ze","star4_moji_tex/m3ahr_l_59_ze","star4_moji_tex/m3bhr_l_59_ze"
182,"ぞ","zo","star3_moji_tex/m3ahr_hikari_60_zo","star3_moji_tex/m3bhr_hikari_60_zo","star4_moji_tex/m3ahr_l_60_zo","star4_moji_tex/m3bhr_l_60_zo"
183,"だ","da","star3_moji_tex/m3ahr_hikari_61_da","star3_moji_tex/m3bhr_hikari_61_da","star4_moji_tex/m3ahr_l_61_da","star4_moji_tex/m3bhr_l_61_da"
184,"ぢ","di","star3_moji_tex/m3ahr_hikari_62_di","star3_moji_tex/m3bhr_hikari_62_di","star4_moji_tex/m3ahr_l_62_di","star4_moji_tex/m3bhr_l_62_di"
185,"づ","du","star3_moji_tex/m3ahr_hikari_63_du","star3_moji_tex/m3bhr_hikari_63_du","star4_moji_tex/m3ahr_l_63_du","star4_moji_tex/m3bhr_l_63_du"
186,"で","de","star3_moji_tex/m3ahr_hikari_64_de","star3_moji_tex/m3bhr_hikari_64_de","star4_moji_tex/m3ahr_l_64_de","star4_moji_tex/m3bhr_l_64_de"
187,"ど","do","star3_moji_tex/m3ahr_hikari_65_do","star3_moji_tex/m3bhr_hikari_65_do","star4_moji_tex/m3ahr_l_65_do","star4_moji_tex/m3bhr_l_65_do"
188,"ば","ba","star3_moji_tex/m3ahr_hikari_66_ba","star3_moji_tex/m3bhr_hikari_66_ba","star4_moji_tex/m3ahr_l_66_ba","star4_moji_tex/m3bhr_l_66_ba"
189,"び","bi","star3_moji_tex/m3ahr_hikari_67_bi","star3_moji_tex/m3bhr_hikari_67_bi","star4_moji_tex/m3ahr_l_67_bi","star4_moji_tex/m3bhr_l_67_bi"
190,"ぶ","bu","star3_moji_tex/m3ahr_hikari_68_bu","star3_moji_tex/m3bhr_hikari_68_bu","star4_moji_tex/m3ahr_l_68_bu","star4_moji_tex/m3bhr_l_68_bu"
191,"べ","be","star3_moji_tex/m3ahr_hikari_69_be","star3_moji_tex/m3bhr_hikari_69_be","star4_moji_tex/m3ahr_l_69_be","star4_moji_tex/m3bhr_l_69_be"
192,"ぼ","bo","star3_moji_tex/m3ahr_hikari_70_bo","star3_moji_tex/m3bhr_hikari_70_bo","star4_moji_tex/m3ahr_l_70_bo","star4_moji_tex/m3bhr_l_70_bo"
193,"ぱ","pa","star3_moji_tex/m3ahr_hikari_71_pa","star3_moji_tex/m3bhr_hikari_71_pa","star4_moji_tex/m3ahr_l_71_pa","star4_moji_tex/m3bhr_l_71_pa"
194,"ぴ","pi","star3_moji_tex/m3ahr_hikari_72_pi","star3_moji_tex/m3bhr_hikari_72_pi","star4_moji_tex/m3ahr_l_72_pi","star4_moji_tex/m3bhr_l_72_pi"
195,"ぷ","pu","star3_moji_tex/m3ahr_hikari_73_pu","star3_moji_tex/m3bhr_hikari_73_pu","star4_moji_tex/m3ahr_l_73_pu","star4_moji_tex/m3bhr_l_73_pu"
196,"ぺ","pe","star3_moji_tex/m3ahr_hikari_74_pe","star3_moji_tex/m3bhr_hikari_74_pe","star4_moji_tex/m3ahr_l_74_pe","star4_moji_tex/m3bhr_l_74_pe"
197,"ぽ","po","star3_moji_tex/m3ahr_hikari_75_po","star3_moji_tex/m3bhr_hikari_75_po","star4_moji_tex/m3ahr_l_75_po","star4_moji_tex/m3bhr_l_75_po"
198,"ぁ","la","star3_moji_tex/m3ahr_hikari_76_la","star3_moji_tex/m3bhr_hikari_76_la","star4_moji_tex/m3ahr_l_76_la","star4_moji_tex/m3bhr_l_76_la"
199,"ぃ","li","star3_moji_tex/m3ahr_hikari_77_li","star3_moji_tex/m3bhr_hikari_77_li","star4_moji_tex/m3ahr_l_77_li","star4_moji_tex/m3bhr_l_77_li"
200,"ぅ","lu","star3_moji_tex/m3ahr_hikari_78_lu","star3_moji_tex/m3bhr_hikari_78_lu","star4_moji_tex/m3ahr_l_78_lu","star4_moji_tex/m3bhr_l_78_lu"
201,"ぇ","le","star3_moji_tex/m3ahr_hikari_79_le","star3_moji_tex/m3bhr_hikari_79_le","star4_moji_tex/m3ahr_l_79_le","star4_moji_tex/m3bhr_l_79_le"
202,"ぉ","lo","star3_moji_tex/m3ahr_hikari_80_lo","star3_moji_tex/m3bhr_hikari_80_lo","star4_moji_tex/m3ahr_l_80_lo","star4_moji_tex/m3bhr_l_80_lo"
203,"ゃ","ya","star3_moji_tex/m3ahr_hikari_81_ya","star3_moji_tex/m3bhr_hikari_81_ya","star4_moji_tex/m3ahr_l_81_ya","star4_moji_tex/m3bhr_l_81_ya"
204,"ゅ","yu","star3_moji_tex/m3ahr_hikari_82_yu","star3_moji_tex/m3bhr_hikari_82_yu","star4_moji_tex/m3ahr_l_82_yu","star4_moji_tex/m3bhr_l_82_yu"
205,"ょ","yo","star3_moji_tex/m3ahr_hikari_83_yo","star3_moji_tex/m3bhr_hikari_83_yo","star4_moji_tex/m3ahr_l_83_yo","star4_moji_tex/m3bhr_l_83_yo"
206,"ゎ","lw","star3_moji_tex/m3ahr_hikari_84_lw","star3_moji_tex/m3bhr_hikari_84_lw","star4_moji_tex/m3ahr_l_84_lw","star4_moji_tex/m3bhr_l_84_lw"
207,"っ","lt","star3_moji_tex/m3ahr_hikari_86_lt","star3_moji_tex/m3bhr_hikari_86_lt","star4_moji_tex/m3ahr_l_86_lt","star4_moji_tex/m3bhr_l_86_lt"
208,"ヴ","vu","star3_moji_tex/m3ahr_hikari_85_vu","star3_moji_tex/m3bhr_hikari_85_vu","star4_moji_tex/m3ahr_l_85_vu","star4_moji_tex/m3bhr_l_85_vu"
209,"嵐","ara","star3_moji_tex/m3azk_hikarim_55","star3_moji_tex/m3bzk_hikarim_55","star4_moji_tex/m3azk_l_55","star4_moji_tex/m3bzk_l_55"
210,"裂","ret","star3_moji_tex/m3azk_hikarim_56","star3_moji_tex/m3bzk_hikarim_56","star4_moji_tex/m3azk_l_56","star4_moji_tex/m3bzk_l_56"
211,"天","ten","star3_moji_tex/m3azk_hikarim_57","star3_moji_tex/m3bzk_hikarim_57","star4_moji_tex/m3azk_l_57","star4_moji_tex/m3bzk_l_57"
212,"流","ryu","star3_moji_tex/m3azk_hikarim_58","star3_moji_tex/m3bzk_hikarim_58","star4_moji_tex/m3azk_l_58","star4_moji_tex/m3bzk_l_58"
213,"転","ten","star3_moji_tex/m3azk_hikarim_59","star3_moji_tex/m3bzk_hikarim_59","star4_moji_tex/m3azk_l_59","star4_moji_tex/m3bzk_l_59"
214,"山","san","star3_moji_tex/m3azk_hikarim_60","star3_moji_tex/m3bzk_hikarim_60","star4_moji_tex/m3azk_l_60","star4_moji_tex/m3bzk_l_60"
215,"烈","ret","star3_moji_tex/m3azk_hikarim_61","star3_moji_tex/m3bzk_hikarim_61","star4_moji_tex/m3azk_l_61","star4_moji_tex/m3bzk_l_61"
216,"波","nam","star3_moji_tex/m3azk_hikarim_62","star3_moji_tex/m3bzk_hikarim_62","star4_moji_tex/m3azk_l_62","star4_moji_tex/m3bzk_l_62"
217,"穿","gaa","star3_moji_tex/m3azk_hikarim_63","star3_moji_tex/m3bzk_hikarim_63","star4_moji_tex/m3azk_l_63","star4_moji_tex/m3bzk_l_63"
218,"砕","sai","star3_moji_tex/m3azk_hikarim_64","star3_moji_tex/m3bzk_hikarim_64","star4_moji_tex/m3azk_l_64","star4_moji_tex/m3bzk_l_64"
219,"厳","gen","star3_moji_tex/m3azk_hikarim_65","star3_moji_tex/m3bzk_hikarim_65","star4_moji_tex/m3azk_l_65","star4_moji_tex/m3bzk_l_65"
220,"湯","yu","star3_moji_tex/m3azk_hikarim_66","star3_moji_tex/m3bzk_hikarim_66","star4_moji_tex/m3azk_l_66","star4_moji_tex/m3bzk_l_66"
221,"気","ki","star3_moji_tex/m3azk_hikarim_67","star3_moji_tex/m3bzk_hikarim_67","star4_moji_tex/m3azk_l_67","star4_moji_tex/m3bzk_l_67"
222,"壮","sou","star3_moji_tex/m3azk_hikarim_68","star3_moji_tex/m3bzk_hikarim_68","star4_moji_tex/m3azk_l_68","star4_moji_tex/m3bzk_l_68"
223,"健","ken","star3_moji_tex/m3azk_hikarim_69","star3_moji_tex/m3bzk_hikarim_69","star4_moji_tex/m3azk_l_69","star4_moji_tex/m3bzk_l_69"
224,"満","man","star3_moji_tex/m3azk_hikarim_70","star3_moji_tex/m3bzk_hikarim_70","star4_moji_tex/m3azk_l_70","star4_moji_tex/m3bzk_l_70"
225,"開","kai","star3_moji_tex/m3azk_hikarim_71","star3_moji_tex/m3bzk_hikarim_71","star4_moji_tex/m3azk_l_71","star4_moji_tex/m3bzk_l_71"
226,"秘","hi","star3_moji_tex/m3azk_hikarim_72","star3_moji_tex/m3bzk_hikarim_72","star4_moji_tex/m3azk_l_72","star4_moji_tex/m3bzk_l_72"
227,"舞","mai","star3_moji_tex/m3azk_hikarim_73","star3_moji_tex/m3bzk_hikarim_73","star4_moji_tex/m3azk_l_73","star4_moji_tex/m3bzk_l_73"
228,"反","han","star3_moji_tex/m3azk_hikarim_74","star3_moji_tex/m3bzk_hikarim_74","star4_moji_tex/m3azk_l_74","star4_moji_tex/m3bzk_l_74"
229,"射","sya","star3_moji_tex/m3azk_hikarim_75","star3_moji_tex/m3bzk_hikarim_75","star4_moji_tex/m3azk_l_75","star4_moji_tex/m3bzk_l_75"
230,"凝","gyou","star3_moji_tex/m3azk_hikarim_76","star3_moji_tex/m3bzk_hikarim_76","star4_moji_tex/m3azk_l_76","star4_moji_tex/m3bzk_l_76"
231,"集","syuu","star3_moji_tex/m3azk_hikarim_77","star3_moji_tex/m3bzk_hikarim_77","star4_moji_tex/m3azk_l_77","star4_moji_tex/m3bzk_l_77"
232,"光","kou","star3_moji_tex/m3azk_hikarim_78","star3_moji_tex/m3bzk_hikarim_78","star4_moji_tex/m3azk_l_78","star4_moji_tex/m3bzk_l_78"
233,"線","sen","star3_moji_tex/m3azk_hikarim_79","star3_moji_tex/m3bzk_hikarim_79","star4_moji_tex/m3azk_l_79","star4_moji_tex/m3bzk_l_79"
234,"術","jutsu","star3_moji_tex/m3azk_hikarim_80","star3_moji_tex/m3bzk_hikarim_80","star4_moji_tex/m3azk_l_80","star4_moji_tex/m3bzk_l_80"
235,"？","hatena","star3_moji_tex/m3azk_hikarim_81","star3_moji_tex/m3bzk_hikarim_81","star4_moji_tex/m3azk_l_81","star4_moji_tex/m3bzk_l_81"
236,"飛","tob","star3_moji_tex/m3azk_hikarim_82","star3_moji_tex/m3bzk_hikarim_82","star4_moji_tex/m3azk_l_82","star4_moji_tex/m3bzk_l_82"
237,"逐","tik","star3_moji_tex/m3azk_hikarim_83","star3_moji_tex/m3bzk_hikarim_83","star4_moji_tex/m3azk_l_83","star4_moji_tex/m3bzk_l_83"
238,"地","jim","star3_moji_tex/m3azk_hikarim_84","star3_moji_tex/m3bzk_hikarim_84","star4_moji_tex/m3azk_l_84","star4_moji_tex/m3bzk_l_84"
239,"鼓","tud","star3_moji_tex/m3azk_hikarim_85","star3_moji_tex/m3bzk_hikarim_85","star4_moji_tex/m3azk_l_85","star4_moji_tex/m3bzk_l_85"
240,"苔","kok","star3_moji_tex/m3azk_hikarim_86","star3_moji_tex/m3bzk_hikarim_86","star4_moji_tex/m3azk_l_86","star4_moji_tex/m3bzk_l_86"
241,"待","mat","star3_moji_tex/m3azk_hikarim_87","star3_moji_tex/m3bzk_hikarim_87","star4_moji_tex/m3azk_l_87","star4_moji_tex/m3bzk_l_87"
242,"宵","yoi","star3_moji_tex/m3azk_hikarim_88","star3_moji_tex/m3bzk_hikarim_88","star4_moji_tex/m3azk_l_88","star4_moji_tex/m3bzk_l_88"
243,"盟","mei","star3_moji_tex/m3azk_hikarim_89","star3_moji_tex/m3bzk_hikarim_89","star4_moji_tex/m3azk_l_89","star4_moji_tex/m3bzk_l_89"
244,"友","tom","star3_moji_tex/m3azk_hikarim_90","star3_moji_tex/m3bzk_hikarim_90","star4_moji_tex/m3azk_l_90","star4_moji_tex/m3bzk_l_90"
245,"藻","nij","star3_moji_tex/m3azk_hikarim_91","star3_moji_tex/m3bzk_hikarim_91","star4_moji_tex/m3azk_l_91","star4_moji_tex/m3bzk_l_91"
246,"藪","toj","star3_moji_tex/m3azk_hikarim_92","star3_moji_tex/m3bzk_hikarim_92","star4_moji_tex/m3azk_l_92","star4_moji_tex/m3bzk_l_92"
247,"甚","jin","star3_moji_tex/m3azk_hikarim_93","star3_moji_tex/m3bzk_hikarim_93","star4_moji_tex/m3azk_l_93","star4_moji_tex/m3bzk_l_93"
248,"三","san","star3_moji_tex/m3azk_hikarim_94","star3_moji_tex/m3bzk_hikarim_94","star4_moji_tex/m3azk_l_94","star4_moji_tex/m3bzk_l_94"
249,"落","rak","star3_moji_tex/m3azk_hikarim_95","star3_moji_tex/m3bzk_hikarim_95","star4_moji_tex/m3azk_l_95","star4_moji_tex/m3bzk_l_95"
250,"滴","tek","star3_moji_tex/m3azk_hikarim_96","star3_moji_tex/m3bzk_hikarim_96","star4_moji_tex/m3azk_l_96","star4_moji_tex/m3bzk_l_96"
251,"連","ren","star3_moji_tex/m3azk_hikarim_97","star3_moji_tex/m3bzk_hikarim_97","star4_moji_tex/m3azk_l_97","star4_moji_tex/m3bzk_l_97"
252,"逆","gyaku","star3_moji_tex/m3azk_hikarim_98","star3_moji_tex/m3bzk_hikarim_98","star4_moji_tex/m3azk_l_98","star4_moji_tex/m3bzk_l_98"
253,"八","yat","star3_moji_tex/m3azk_hikarim_99","star3_moji_tex/m3bzk_hikarim_99","star4_moji_tex/m3azk_l_99","star4_moji_tex/m3bzk_l_99"
254,"柳","yana","star3_moji_tex/m3azk_hikarim_100","star3_moji_tex/m3bzk_hikarim_100","star4_moji_tex/m3azk_l_100","star4_moji_tex/m3bzk_l_100"
